Country,Capital,Continent,Flag
Malawi,Lilongwe,Africa,
Malaysia,Kuala Lumpur,Asia,
Maldives,Male,Asia,
Mali,Bamako,Africa,
Malta,Valletta,Europe,
Marshall Islands,Majuro,Australia,
Mauritania,Nouakchott,Africa,
Mauritius,Port Louis,Africa,
Mexico,Mexico City,Central America,
Federated States of Micronesia,Palikir,Australia,
Moldova,Chisinau,Europe,
Monaco,Monaco,Europe,
Mongolia,Ulaanbaatar,Asia,
Montenegro,Podgorica,Europe,
Montserrat,Plymouth,North America,
Morocco,Rabat,Africa,
Mozambique,Maputo,Africa,
Namibia,Windhoek,Africa,
Nepal,Kathmandu,Asia,
Netherlands,Amsterdam,Europe,
New Caledonia,Noumea,Australia,
New Zealand,Wellington,Australia,
Nicaragua,Managua,Central America,
Niger,Niamey,Africa,
Nigeria,Abuja,Africa,
Niue,Alofi,Australia,
Norfolk Island,Kingston,Australia,
Northern Mariana Islands,Saipan,Australia,
Norway,Oslo,Europe,
Oman,Muscat,Asia,
Pakistan,Islamabad,Asia,
Palau,Melekeok,Australia,
Panama,Panama City,Central America,
Papua New Guinea,Port Moresby,Australia,
Paraguay,Asuncion,South America,
Peru,Lima,South America,
Philippines,Manila,Asia,
Pitcairn Islands,Adamstown,Australia,
Poland,Warsaw,Europe,
Portugal,Lisbon,Europe,
Puerto Rico,San Juan,North America,
Qatar,Doha,Asia,
Romania,Bucharest,Europe,
Russia,Moscow,Europe,
Rwanda,Kigali,Africa,
Saint Barthelemy,Gustavia,North America,
Saint Helena,Jamestown,Africa,
Saint Kitts and Nevis,Basseterre,North America,
Saint Lucia,Castries,North America,
Saint Pierre and Miquelon,Saint-Pierre,Central America,
Saint Vincent and the Grenadines,Kingstown,Central America,
Samoa,Apia,Australia,
San Marino,San Marino,Europe,
Sao Tome and Principe,Sao Tome,Africa,
Saudi Arabia,Riyadh,Asia,
Senegal,Dakar,Africa,
Serbia,Belgrade,Europe,
Seychelles,Victoria,Africa,
Sierra Leone,Freetown,Africa,
Singapore,Singapore,Asia,
Sint Maarten,Philipsburg,North America,
Slovakia,Bratislava,Europe,
Slovenia,Ljubljana,Europe,
Solomon Islands,Honiara,Australia,
Somalia,Mogadishu,Africa,
South Africa,Pretoria,Africa,
South Sudan,Juba,Africa,
Spain,Madrid,Europe,
Sri Lanka,Colombo,Asia,
Sudan,Khartoum,Africa,
Suriname,Paramaribo,South America,
Svalbard,Longyearbyen,Europe,
Swaziland,Mbabane,Africa,
Sweden,Stockholm,Europe,
Switzerland,Bern,Europe,
Syria,Damascus,Asia,
Taiwan,Taipei,Asia,
Tajikistan,Dushanbe,Asia,
Tanzania,Dar es Salaam,Africa,
Thailand,Bangkok,Asia,
Timor-Leste,Dili,Asia,
Togo,Lome,Africa,
Tonga,Nuku'alofa,Australia,
Trinidad and Tobago,Port of Spain,North America,
Tunisia,Tunis,Africa,
Turkey,Ankara,Europe,
Turkmenistan,Ashgabat,Asia,
Turks and Caicos Islands,Grand Turk,North America,
Tuvalu,Funafuti,Australia,
Uganda,Kampala,Africa,
Ukraine,Kyiv,Europe,
United Arab Emirates,Abu Dhabi,Asia,
United Kingdom,London,Europe,
United States,Washington,US,
Uruguay,Montevideo,South America,
Uzbekistan,Tashkent,Asia,
Vanuatu,Port-Vila,Australia,
Venezuela,Caracas,South America,
Vietnam,Hanoi,Asia,
US Virgin Islands,Charlotte Amalie,North America,
Wallis and Futuna,Mata-Utu,Australia,
Yemen,Sanaa,Asia,
Zambia,Lusaka,Africa,
Zimbabwe,Harare,Africa,
Northern Cyprus,North Nicosia,Europe,
British Indian Ocean Territory,Diego Garcia,Africa,
